SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,DebtRatio,NumberOfOpenCreditLinesAndLoans,NumberOfDependents
0,0.084220458,0.458551158,26,4
0,0.114561798,0.359964004,20,2
0,0.012151003,0.008886914,12,0
0,0.081310737,0.165566887,4,0
0,0.09811305,0.257017809,9,0
1,1.048210842,0.151956584,12,0
0,0.011883886,0.092913547,8,2
0,0.75264947,0.058322869,6,0
0,0.112321289,0.266909775,9,5
0,0,0,1,0
0,0.634327056,0.123125125,7,1
0,0.15576324,0.278077082,4,2
0,0,0.007988922,9,0
0,0.090614887,86,5,0
0,0.034645112,0.125189985,4,1
0,0.027446383,1612,6,0
0,0.412398622,0.037259615,5,0
0,0.024670782,392,6,NA
0,0.046710961,1.117952819,12,0
0,0.976531824,0.264078812,6,2
0,0.007982621,0.009691169,11,1
0,0.267541336,0.637607437,13,1
0,0.019779326,0.267149259,9,0
0,0.010402205,0.094140517,6,0
0,0.9999999,0.529548989,3,0
0,0.029816467,0.175139978,12,1
0,0.181713732,0.130453416,17,1
0,0.051368557,0.445277361,10,2
0,0.29264536,0.205927884,11,3
1,0.220823719,0.637749121,5,0
0,0.008099838,0.389895596,3,0
0,0,0.326383681,4,1
0,0.006099797,0.139429485,8,0
0,0.909538698,0.595653913,16,1
0,0.941072508,0.178184282,9,0
0,0.991667222,0.554878049,10,1
0,0.691488418,0.272721679,11,1
0,0.112855258,0.307576329,6,0
0,0.260971034,5439,16,NA
0,0.048244493,0.262879153,11,1
0,0.9999999,0.092163472,2,0
0,0.9999999,0,3,0
0,0.074256375,0.347930414,11,3
0,0.144878408,0.28446242,9,0
0,0.191001932,0.705627706,10,2
0,0.219382879,942,9,1
0,0.679813777,0.689589756,6,0
0,2340,0.339332853,7,2
0,0.371875401,0.53628857,9,3
0,0.025856408,0.083799311,13,0
0,0.547887778,0.24651504,5,0
0,0.271668778,0.282830201,14,4
0,0.085152475,1005,5,0
0,0.897203427,0.787803049,8,0
0,0.25889775,0.537441339,3,1
0,0,0.03988553,8,0
0,0.035940506,0.271186441,10,3
0,0.9999999,0.046633911,2,1
0,0.465238835,0.391427671,8,0
0,0.865423051,0.075848303,1,0
0,0.696411671,0.408871921,11,4
0,0.544497658,0.166766647,5,0
0,0.081238383,0.066830086,14,2
0,0.948762809,0.144948404,5,0
0,0,0.463610776,10,0
0,0.016598893,0.136575616,5,0
0,0.063329564,0.329935275,6,3
0,0.093638481,0.042836573,10,1
0,0,0.184027338,5,5
0,0.730271957,0.632794037,10,0
0,0.426371142,0.406053995,15,0
0,0.948978489,0.043744532,3,1
0,0,0,7,1
0,1.00264667,0.472542946,8,4
0,0.0164781,10,3,0
0,0.042606843,3976,13,0
0,0.022890604,0.288477299,16,0
0,0.283821988,0.750200803,9,0
0,0.319779462,1.247340213,12,0
0,0.155240525,0.483518065,15,1
0,0.013115183,4211,21,2
0,0.067259209,0.168340507,3,0
0,0.284236153,0.318890815,9,2
0,0.727560021,0.712458746,6,1
0,0.687779097,0.249471161,15,0
0,0.9999999,0,0,0
0,0.033708851,0.408706353,9,2
0,0,0.193935355,7,0
1,0.03719769,0.03975841,11,3
0,0,0.388320836,4,1
0,0.053589282,0.001534331,4,0
0,0.100773109,0.199761673,7,0
0,0,1.394967177,11,0
0,0.399946674,0.189702574,6,1
0,0.052653171,0.572292191,9,4
0,0.072318616,0.426412462,8,1
0,0.203959597,0.072914726,6,2
0,0.9999999,0.090341011,1,0
1,0.880370887,0.461323764,6,1
0,0.429246267,0.381254316,17,1
0,0,773,2,1
0,0.049529205,542,15,0
0,0.360907571,0.356679286,6,0
0,0.335737457,0.45722203,9,1
1,0.635720859,0.218071277,27,0
0,0,8380,20,0
0,0.507972665,0.193935355,10,0
0,0.245841666,151,5,0
1,0.953343701,2073,5,0
0,0.9999999,0.184625639,2,1
0,0.118853837,2720,7,2
0,0.630073985,0.563328034,3,0
0,0.9999999,3388,1,0
0,0.028423247,0.033982276,12,0
0,0.143427862,0.119463561,9,0
0,0.186682782,0.698120752,7,2
0,0.496388581,0.170164956,12,1
0,0.457526639,0.333583302,16,2
0,0.728218119,3878,10,0
0,0.947264856,0.467171717,4,0
0,0.013916922,0.017655818,7,2
0,0.066347297,4480,6,0
0,0.502958087,6381,5,0
0,1.047495906,0.314566116,8,3
0,0.012586354,0.009596162,11,0
0,0.543445655,0.267146571,6,3
0,0.026580302,1063,7,0
0,0.082317351,0.214426305,29,1
0,0.292541492,0.164917541,3,0
0,0.024240472,0.101514142,20,0
0,0.047650102,0.387956894,6,0
1,0.739146488,0.285156885,12,1
0,0.186890655,0.655589124,7,1
0,0.007501937,0.278226307,13,3
0,0.522314625,0.290229092,13,3
0,0.9999999,130,0,NA
0,0.571604587,870,12,NA
0,0.903231566,0.13080895,10,0
0,0.017043518,0.10821382,6,1
0,0.060733396,0.008549573,8,0
0,0.000582648,2028,13,1
0,0.003894686,876,11,0
0,0.250008365,2.086478612,26,0
0,0.466334165,0.007495315,3,0
0,0.114588541,34,2,0
0,0.9999999,0,0,0
0,0.267905614,0.285452994,12,0
0,0.029694361,0.070513488,7,2
0,0.305246317,0.188281635,6,2
0,0.000685675,0,4,0
0,0.702493864,0.582162622,8,1
0,0.742436041,0.414081023,10,0
1,0.802417179,668,5,0
0,0.9999999,0.113421853,3,2
0,0.134191514,926.5,9,0
0,0.002556199,0.115826132,17,2
0,0.088845558,0.073772011,5,0
0,0.203947961,1.206516118,12,2
0,0.006666097,0.000268637,5,0
0,0.014049649,0.352214765,4,1
0,0.9999999,0.092985318,1,3
0,0.368866624,0.437996083,18,0
0,0.054553316,0.043259135,13,0
0,0.179487766,0.492529978,19,0
0,0.026885902,0.344879921,6,2
0,0.265705207,0.259102536,8,1
0,0,2113,13,NA
0,0.011847989,1599,12,0
0,0.07083751,0.255290785,6,1
0,0.030996074,0.131430952,11,0
0,0.144914011,0.045366363,5,0
0,0.353017659,1.299736021,17,1
0,0.020074662,0.334245422,5,0
0,0.032769199,724,11,0
1,0.733885463,0.369223765,20,2
0,0.063514422,2221.5,12,0
0,0.03157211,0.644706486,14,1
1,0.991502124,1.2979007,11,1
0,0.397702982,0.41627543,6,2
0,0.971352432,0.035803497,3,0
0,0.9999999,1786,3,0
0,0,0.386728192,18,0
0,0.9999999,0.130140954,6,0
0,0.003851709,0.000822143,1,1
0,0.010887967,0.725137431,7,0
0,0.686083014,0.16069592,6,2
0,0.212464485,0.518991188,10,1
0,0.006956358,0.003278689,4,0
0,0.073251754,0.446688128,9,2
0,0.431904058,0.41905226,22,0
0,0.006999563,3,2,NA
0,0.014310431,13,2,0
0,0.026944485,0.686736475,8,0
0,0.297094601,0.603763294,9,2
0,0.316064767,1348,3,0
0,0,862,2,0
0,0.922670104,0.207789429,7,0
0,0.051077957,0.306409131,9,0
0,0.319190816,0.358153388,18,0
0,0.008737352,0.209965006,28,0
0,0,0.785229953,8,0
0,0.243674266,0.179979778,10,6
0,0.9999999,0.19170579,3,2
0,0,0,1,1
0,0.028910707,0.013543599,7,2
0,0.03423863,2045,3,0
0,0.50329934,0.454057468,5,0
0,0.799981673,0.671076012,19,0
0,0.069987933,0.114004783,7,0
0,0.067901335,0.065493451,5,0
0,0.740635161,0.432010059,7,0
0,0.023382944,0.00912845,6,0
0,0.9999999,0.095584668,1,0
0,0.003625197,726,8,NA
0,0.092287617,0.229436075,23,2
0,0,0.177007047,5,3
0,0.9999999,0.257707218,2,1
0,0.057867667,0.145685279,13,0
0,0.07807727,0.566105156,14,2
0,0.201943642,0.394460554,15,3
0,0.077958915,0.053530226,19,0
0,0.205676486,0.130309575,8,0
1,0.9999999,0.006731051,1,3
1,0.57985084,0.594224361,8,0
0,0.073393457,0.384761524,9,0
0,0.079178219,0.176964607,3,0
0,0.073123172,0.216405216,9,0
0,0.745173448,0.168767792,4,0
0,0.10088331,0.280494456,6,2
0,0.347665233,0.041583367,1,1
0,0.102031508,90,4,0
0,0.354125994,0.558762411,4,0
0,0.029643294,0.399106478,15,0
0,0.540204354,0.034395414,3,0
0,0.640927271,0.52409692,17,3
0,0.058271403,0.374304267,7,0
0,0.719305764,0.186225718,5,0
0,0.045017363,0.020763907,8,0
0,0.35592819,0.478090767,17,0
0,0.57762185,0.4925,14,1
0,0.015054291,929,11,2
0,0.320593837,1.114622389,14,1
0,0.047587303,997,4,NA
0,0.173428408,0.086269282,11,0
0,0.401789055,0.412779302,11,0
0,0.301152442,0.254661625,10,3
0,0,0.229139073,5,0
0,0.067512585,0.44723563,4,0
0,0,0.205971968,4,1
0,0.993335555,0.068227425,6,1
0,0.138793584,0.384074741,9,0
0,0.193584801,0.532754538,13,0
0,0.001124859,0.057990335,8,0
0,0.485558448,0.09963548,5,0
0,0.979521555,0.467850417,11,0
0,0.090641506,0.016683267,2,0
0,0.38480769,0.533099636,5,3
0,0.183676155,0.660528423,9,0
0,0.018124667,0.023181455,4,1
1,0.9999999,0.228402866,2,0
0,0.290320472,0.262848568,7,3
0,0.052161271,0.067629397,5,1
0,0.9999999,8500,2,0
0,0.9999999,0,3,NA
0,0.412657703,0.195074372,7,0
0,0.091201293,0.568886223,15,0
0,0.500234532,0.278025952,10,1
1,0.913140498,1.620344914,16,1
0,0.056390008,2126,8,0
0,0.611388611,0.347066167,4,0
0,0.065630892,0.162635688,10,0
0,0.499666889,0.450171821,8,0
0,0.9999999,7,1,0
0,0.289470539,0.4825614,17,1
1,0.814154511,0.297139683,8,1
0,0.016406971,0.001785714,3,2
0,0.078497383,0.207274054,5,3
0,0.029692431,0.287187752,19,0
0,0.01255887,0.044762033,5,0
0,0.062093267,0.230261579,6,4
0,0.074201053,1215,4,NA
0,0.551889862,0.790613718,18,1
1,0.640058527,0.055984556,9,2
0,0.581815774,0.724784402,11,0
0,0,0,3,0
0,0,3819,3,NA
0,0.312068793,0.127071823,5,0
0,0.266371179,0.498488489,12,2
0,0.040186458,0.300839136,8,1
0,0.749602291,7963,7,3
1,0.955545894,0.524949909,11,1
0,0.086635409,887,8,1
0,0.212768452,2301,17,0
0,0.9543957,0.4842141,10,1
0,0.188256123,0.881825173,6,1
0,1.245847176,499,4,NA
0,0.014049887,0.674399608,9,0
0,0.329609837,0.437743191,16,2
0,0.484099985,0.423251505,9,2
0,0,2,9,0
0,0.035113768,87,11,0
0,0.084826988,0.53418212,9,0
0,0.9999999,0.60616581,6,0
0,0.152250785,0.030774358,3,0
0,0.2128856,0.351891786,10,0
0,0.9999999,0.200843235,5,4
0,0.9999999,461,2,0
0,0,0,1,1
0,0.576284725,0.785404865,10,1
0,0.408215982,677,4,2
0,0,0,5,0
0,0.10680013,0.747375437,8,2
0,0.004552998,3,2,0
0,0.277436128,0.388566694,8,1
0,0.285342534,0.08951092,4,3
0,0.162077194,0.024885359,6,2
0,0.57073821,1314,5,0
0,0.622524722,0.353883732,8,0
0,0.113165062,3169,16,3
0,0,0.527431421,4,0
0,0.732711215,0.338531127,10,0
0,0.486651335,0.324741695,10,0
0,0.584844623,0.293637575,11,0
0,0.875440658,0.437717467,5,1
0,0.043861767,0.064119265,7,0
0,0.03929607,0.480393478,10,0
1,0.339503567,0.549380248,9,0
0,0.064835195,0.197624587,10,0
0,0.008684579,0.0013269,5,0
0,0.9999999,0.138721351,1,0
0,0.503587987,1.308922769,16,0
0,0.000309046,562,10,NA
0,0.697812691,0.236980252,10,1
0,0.650432993,0.368063194,10,1
0,0.30248201,0.348057208,12,2
0,0.9999999,0.185755935,1,0
0,0.159116246,0.184123484,6,0
0,0.768537191,2568,5,0
0,0.155644438,0.336831584,5,0
0,0.836294011,0.260170076,8,1
0,0.293041811,0.373940678,5,3
0,0.9999999,0.098937721,1,4
0,0.271898248,556,3,NA
0,0,0.238076192,6,0
0,0.291956248,1021,5,NA
0,0.106531463,0.024303074,9,0
0,0.250818316,0.240143984,6,1
0,0.181579946,0.3539428,9,1
0,0.002964536,0.349026844,14,0
0,0.048911121,0.102800764,4,1
1,0.517045364,0.572590321,20,0
0,0.024100447,0.010791367,6,0
0,0.122976319,0.454103343,6,1
1,0.387065977,0.350874186,12,1
0,0.021741679,0.187762448,11,0
0,0.269257489,0.607594937,7,3
0,0.996301651,0.306101912,17,1
0,0.019153961,0.201025979,6,4
0,0.008665511,1.908629442,17,0
0,0.155742213,723,13,2
0,0.733914381,0.158975542,7,1
0,0.210442588,0.513602495,10,1
0,0.095634788,0.175266904,4,1
0,0.124801376,0.566894457,15,0
0,0.016995185,0.002301937,4,0
0,0.964038058,0.263516583,6,0
0,0.211206477,0.2138395,13,0
0,0.184476515,0.444956049,11,0
0,0,0.444444444,5,1
0,0.086605363,73,2,NA
0,0.069069784,1468,3,NA
0,0.187090597,0.506873282,10,1
0,0.732202177,0.258576628,26,0
0,0.392141112,1.383017398,18,2
0,0.063688754,0.266876688,8,1
0,0.616982372,0.191649336,10,2
0,0.288541381,0.571428571,23,0
0,0.221106801,0.157212981,5,0
0,0.193612774,0.020146833,1,3
0,0.014441183,0.145703611,8,0
0,0.531963331,0.480082158,19,1
0,0.346960384,1.432686655,13,2
0,0.024305835,1581,6,0
0,0.9999999,2866,2,0
0,0,0,2,0
0,0.65854007,0.489714904,6,0
0,0.104693763,0.297372704,8,1
0,0.046740048,0.404799866,13,0
0,0.057887851,0.238127698,13,1
0,0.883182488,0.183736947,18,2
0,0.005326455,79,4,0
0,0.088809584,0.295480067,12,0
0,0.021319787,0.24496788,13,0
0,0.281880372,0.179975176,7,0
0,0.063062463,4659,5,0
0,0,2719,5,0
1,0.402345742,0.337622356,16,3
0,0.143316879,4294,16,0
0,0.334295645,5368,13,0
0,0.010350125,0.258589038,6,1
0,0.336596148,0.08037225,2,0
0,0.044842922,0.23358954,5,2
0,0.007712359,0.156614462,6,0
0,1.011332794,10.80049875,8,2
0,0.066778859,84,7,NA
0,0,0.370418677,4,2
0,0,0.62273579,10,1
1,0.314685703,0.160317928,13,4
1,0.149314411,0.558320373,9,0
0,0,0.238212526,9,0
0,0.037849716,0.162891787,15,0
0,0.281115558,0.162186181,10,1
0,0.005196165,1514,9,0
0,0.133688867,0.093522183,7,2
0,0.321457844,1434,6,0
0,0,0.416379181,10,0
0,0.827151013,0.219974716,8,1
0,0.442798278,2092,11,2
0,0.025082109,0.360879707,15,0
0,0.578849363,0.367553674,10,1
0,0.020703507,0.645104381,6,2
1,1.248751249,0.175120326,3,0
0,0.9999999,8,2,0
0,0.569824212,0.361421689,18,2
0,0.914867126,0.517037339,7,1
0,0.0382584,0.009831695,12,0
0,0.964561473,0.305839582,10,2
0,0.02731285,0.325335893,6,0
0,0.035605591,0.017260735,7,0
0,0.004595129,0.39095856,7,0
0,0.042534081,0.009690817,4,1
0,0.12136536,3300,5,0
0,0.180162143,0.448326668,15,1
0,0.054940099,0.662152897,10,2
0,0.099724251,0.008908281,3,0
0,0.030513202,48,6,0
0,0.175434349,0.149077983,9,0
0,0.019883105,0.028599606,16,0
1,0.990764426,0.361340457,4,1
0,0.386084012,0.166452387,17,3
0,0.008287427,0.115171335,8,0
0,0.058687793,0.335733141,6,2
0,0.091106715,0.035418452,5,0
0,0.023114333,0.513540291,16,0
0,0.083426677,0.037871034,7,2
0,0.529411765,0.017052375,1,0
0,0.192722211,0.457930642,21,1
0,0.9999999,0.177955511,1,0
0,0.359412083,3.874422899,22,0
0,0.106517279,0.263151915,17,4
0,0.07953842,2958,9,2
1,2066,0.27112148,8,1
0,0.01239876,0.207518671,4,0
0,0.9999999,0.00711943,2,2
0,0.003938695,0.199949219,11,0
0,0.520418652,0.232918082,5,3
0,0.160899231,0.182363527,13,0
0,0.252505361,0.442592901,13,2
0,0.035670256,0.427674963,9,0
0,0.046747539,1.012368584,13,0
0,0.009639594,0.262440354,5,0
0,0.986400389,0.441868921,8,0
0,0.092392056,0.190062303,7,0
0,0.001019592,0.00019996,10,0
0,0,272,6,0
0,0.045516721,0.090355422,12,3
0,0.245744673,0.585122242,21,3
0,0.292159285,605,5,0
0,0.9999999,631,1,0
0,0.016142473,0.668266347,11,0
0,0.759286581,0.408475574,4,1
0,0.189734189,0.04587156,2,0
0,0.049082484,0.361938937,12,1
0,1.163184115,0.319174181,7,0
0,0.238016933,0.601017347,5,0
0,0.410946459,0.712194056,16,0
0,0.476535633,0.312937413,4,0
0,0.37504998,0.011195522,4,0
0,0.116188171,0.043739065,9,0
0,0.018497695,64,13,0
0,0.254548841,0.461357487,15,4
0,0.013574112,0.711075819,11,0
0,0.9999999,0.260763359,3,2
0,0.029185402,0.336295473,5,0
0,0.985092264,0.376905611,4,0
0,0.011904653,1653,20,0
0,0,0.735131912,13,2
0,0.312877738,0.23072116,28,0
0,0.714892819,0.870354941,8,0
0,0.060867801,3074,15,0
0,0.141853991,0.812870978,8,0
0,0.073191767,0.020708083,4,0
0,0.473663158,0.650674663,8,0
1,0.987668722,0.691279186,14,2
0,0.061214562,0.453692681,7,0
0,0.475252475,0.428628549,8,0
0,0.243842974,1321,9,2
0,0.621468927,0.010079194,3,0
0,0.084589254,0.044093178,8,0
0,0.880239982,1290,6,2
0,0.087182563,0.080495356,6,0
0,0.111715105,0.315173697,12,3
0,0,0.335066493,11,3
0,0,0.052672049,3,1
0,0,17,4,0
0,0.659178931,0.285324697,6,1
0,0.101012576,0.34037277,21,1
0,0.471803323,0.365787835,12,1
0,0.224822486,2284,6,0
0,0.249922521,0.254313231,18,1
0,0,0.369192131,7,1
0,0.066285085,0.228999349,7,0
0,0.025711593,0.540702656,8,2
0,0.901509849,0.128132981,8,0
1,0.02331266,0.632371083,13,0
0,0.048540543,0.215576215,9,0
0,0.077358439,0.324267573,10,0
0,0.082452074,0.89117395,12,1
0,0.9999999,0,3,0
0,0.14060251,0.049700447,11,2
0,0.357285429,0.001723544,1,0
0,0.002140517,5,4,0
1,0,0.44187375,5,2
0,0.072377744,0.399050079,9,0
0,0.228591229,0.181233062,4,0
0,0,526,5,1
0,0,0.531464095,8,0
0,0.9999999,0.132716821,1,1
0,0.015293506,0.372513562,13,0
0,0.059183801,0.067061144,7,0
0,0.211859605,0.128716003,8,1
0,0.014688043,13,4,0
0,0.019415751,1203,9,0
0,0.012236873,1189,6,0
0,0.917428326,2410,7,0
0,0.716283716,0.26775232,10,2
0,0.00054943,0,4,0
0,0.004680652,0.057388522,4,0
0,0.4275909,0.342354782,14,0
0,0.982477859,0.508163945,3,0
0,0.083486086,0.170705631,4,0
0,0.01087466,0.001287001,6,0
0,0.014646523,0.121568627,7,0
1,1.008506531,3265,20,0
0,0.537596973,1591,8,NA
0,0.994428754,2336,11,3
0,0.556142972,0.177274242,2,0
1,1.25748503,0.129805014,1,0
0,0.031593681,523,3,0
0,0.35407131,0.053521541,5,0
0,0.075627307,0.193786454,9,0
0,0.002965614,0.515939338,8,0
0,0.020390558,0.225861336,5,0
0,0.04564894,0.274952015,21,0
1,0.962946947,0.68127587,8,0
0,0.160226787,0.356018715,5,0
0,0,0.735816454,11,1
0,0.067400749,0.166517857,10,0
0,0.134374585,111,2,0
0,0.9999999,11,0,0
0,0.013218661,0.085321957,10,0
0,0.000358843,0.720069983,11,0
0,0.975146408,0.332280979,4,2
0,0.255610417,0.528550512,9,1
0,0.9999999,0,1,0
0,0.682708972,0.38708711,8,1
0,0.101551406,228,6,0
